id,format,status,start_year,start_month,start_day,end_year,end_month,end_day,airing_days,season,seasonYear,seasonInt,episodes,duration,averageScore,meanScore,popularity,favourites,title_romaji,title_english,title_native,stats_weighted_score,stats_drop_rate,main_studio,start_dt,end_dt
16498,TV,FINISHED,2013,4,7,2013,9,28,174,SPRING,2013,132,25,24,85.0,85.0,923138,55763,Shingeki no Kyojin,Attack on Titan,進撃の巨人,86.16564075735482,0.015960777261904504,WIT STUDIO,2013-04-07,2013-09-28
101922,TV,FINISHED,2019,4,6,2019,9,28,175,SPRING,2019,192,26,24,82.0,82.0,876899,42077,Kimetsu no Yaiba,Demon Slayer: Kimetsu no Yaiba,鬼滅の刃,84.40421044781067,0.015891225785409722,ufotable,2019-04-06,2019-09-28
1535,TV,FINISHED,2006,10,4,2007,6,27,266,FALL,2006,64,37,23,84.0,84.0,840763,44158,DEATH NOTE,Death Note,DEATH NOTE,85.30130377627292,0.029406622318061095,MADHOUSE,2006-10-04,2007-06-27
113415,TV,FINISHED,2020,10,3,2021,3,27,175,FALL,2020,204,24,24,84.0,84.0,831794,49308,Jujutsu Kaisen,JUJUTSU KAISEN,呪術廻戦,86.2466437947494,0.012465826875404247,MAPPA,2020-10-03,2021-03-27
21459,TV,FINISHED,2016,4,3,2016,6,26,84,SPRING,2016,162,13,24,76.0,76.0,777901,20699,Boku no Hero Academia,My Hero Academia,僕のヒーローアカデミア,78.12541040441194,0.02092811296038956,bones,2016-04-03,2016-06-26
11061,TV,FINISHED,2011,10,2,2014,9,24,1088,FALL,2011,114,148,24,89.0,89.0,742982,69836,HUNTER×HUNTER (2011),Hunter x Hunter (2011),HUNTER×HUNTER (2011),90.13092854166946,0.02197361443480461,MADHOUSE,2011-10-02,2014-09-24
21087,TV,FINISHED,2015,10,5,2015,12,21,77,FALL,2015,154,12,24,83.0,83.0,689916,24879,One Punch Man,One-Punch Man,ワンパンマン,83.90079957260238,0.014401753256918233,MADHOUSE,2015-10-05,2015-12-21
20605,TV,FINISHED,2014,7,4,2014,9,19,77,SUMMER,2014,143,12,24,76.0,76.0,658289,18102,Tokyo Ghoul,Tokyo Ghoul,東京喰種 トーキョーグール,77.30504867241198,0.025718187604532355,Studio Pierrot,2014-07-04,2014-09-19
20958,TV,FINISHED,2017,4,1,2017,6,17,77,SPRING,2017,172,12,25,84.0,84.0,651184,14356,Shingeki no Kyojin Season 2,Attack on Titan Season 2,進撃の巨人 Season２,85.93300560133154,0.00567888645912676,WIT STUDIO,2017-04-01,2017-06-17
21,TV,RELEASING,1999,10,20,,,,,FALL,1999,994,,24,88.0,88.0,643323,89678,ONE PIECE,ONE PIECE,ONE PIECE,88.4707396622478,0.0640642414463652,Toei Animation,1999-10-20,
5114,TV,FINISHED,2009,4,5,2010,7,4,455,SPRING,2009,92,64,25,90.0,90.0,641620,52678,Hagane no Renkinjutsushi: FULLMETAL ALCHEMIST,Fullmetal Alchemist: Brotherhood,鋼の錬金術師 FULLMETAL ALCHEMIST,90.76637726413058,0.017432436644742994,bones,2009-04-05,2010-07-04
11757,TV,FINISHED,2012,7,8,2012,12,23,168,SUMMER,2012,123,25,23,69.0,69.0,639980,18270,Sword Art Online,Sword Art Online,ソードアート・オンライン,70.69639278557115,0.04411544110753461,A-1 Pictures,2012-07-08,2012-12-23
20,TV,FINISHED,2002,10,3,2007,2,8,1589,FALL,2002,24,220,23,80.0,80.0,639097,28747,NARUTO,Naruto,NARUTO -ナルト-,81.36613496583952,0.037797079316598266,Studio Pierrot,2002-10-03,2007-02-08
21519,MOVIE,FINISHED,2016,8,26,2016,8,26,0,SUMMER,2016,163,1,107,85.0,85.0,629219,34346,Kimi no Na wa.,Your Name.,君の名は。,86.71390469801563,0.0015876825079980102,CoMix Wave,2016-08-26,2016-08-26
20954,MOVIE,FINISHED,2016,9,17,2016,9,17,0,SUMMER,2016,163,1,130,88.0,88.0,620440,44638,Koe no Katachi,A Silent Voice,聲の形,88.75131658693593,0.0015021597575913868,Kyoto Animation,2016-09-17,2016-09-17
99147,TV,FINISHED,2018,7,23,2018,10,15,84,SUMMER,2018,183,12,24,85.0,85.0,607999,14334,Shingeki no Kyojin Season 3,Attack on Titan Season 3,進撃の巨人 Season３,86.88634625732816,0.004481915266308004,WIT STUDIO,2018-07-23,2018-10-15
21856,TV,FINISHED,2017,4,1,2017,9,30,182,SPRING,2017,172,25,24,79.0,79.0,591218,8585,Boku no Hero Academia 2,My Hero Academia Season 2,僕のヒーローアカデミア２,80.66130650886173,0.00923855498310268,bones,2017-04-01,2017-09-30
101759,TV,FINISHED,2019,1,10,2019,3,29,78,WINTER,2019,191,12,23,83.0,83.0,574760,17688,Yakusoku no Neverland,The Promised Neverland,約束のネバーランド,84.76295393614429,0.019341986220335443,CloverWorks,2019-01-10,2019-03-29
110277,TV,FINISHED,2020,12,7,2021,3,29,112,WINTER,2021,211,16,24,86.0,86.0,567460,19530,Shingeki no Kyojin: The Final Season,Attack on Titan Final Season,進撃の巨人 The Final Season,88.11613157218687,0.010728509498466852,MAPPA,2020-12-07,2021-03-29
20755,TV,FINISHED,2015,1,10,2015,6,20,161,WINTER,2015,151,22,23,79.0,79.0,561747,16233,Ansatsu Kyoushitsu,Assassination Classroom,暗殺教室,80.51599966324555,0.03690095363215113,Lerche,2015-01-10,2015-06-20
21507,TV,FINISHED,2016,7,12,2016,9,27,77,SUMMER,2016,163,12,24,84.0,84.0,552534,28058,Mob Psycho 100,Mob Psycho 100,モブサイコ100,85.32783753803099,0.01512486109452088,bones,2016-07-12,2016-09-27
20665,TV,FINISHED,2014,10,10,2015,3,20,161,FALL,2014,144,22,23,84.0,84.0,542494,26805,Shigatsu wa Kimi no Uso,Your lie in April,四月は君の嘘,85.01979687376021,0.028724741656128917,A-1 Pictures,2014-10-10,2015-03-20
21234,TV,FINISHED,2016,1,8,2016,3,25,77,WINTER,2016,161,12,23,81.0,81.0,541967,19870,Boku dake ga Inai Machi,ERASED,僕だけがいない街,82.48658598968699,0.008308623956809178,A-1 Pictures,2016-01-08,2016-03-25
100166,TV,FINISHED,2018,4,7,2018,9,29,175,SPRING,2018,182,25,24,79.0,79.0,541151,8172,Boku no Hero Academia 3,My Hero Academia Season 3,僕のヒーローアカデミア３,80.33241264559068,0.011168786530931292,bones,2018-04-07,2018-09-29
1735,TV,FINISHED,2007,2,15,2017,3,23,3689,WINTER,2007,71,500,23,82.0,82.0,540474,33183,NARUTO: Shippuuden,Naruto: Shippuden,NARUTO -ナルト- 疾風伝,83.66610133559466,0.04478106254879976,Studio Pierrot,2007-02-15,2017-03-23
104578,TV,FINISHED,2019,4,29,2019,7,1,63,SPRING,2019,192,10,24,89.0,89.0,540259,23171,Shingeki no Kyojin Season 3 Part 2,Attack on Titan Season 3 Part 2,進撃の巨人 Season３ Part.2,90.66882727478281,0.0029226722738538366,WIT STUDIO,2019-04-29,2019-07-01
21355,TV,FINISHED,2016,4,4,2016,9,19,168,SPRING,2016,162,25,25,81.0,81.0,535218,27072,Re:Zero kara Hajimeru Isekai Seikatsu,Re:ZERO -Starting Life in Another World-,Re:ゼロから始める異世界生活,81.99939984019841,0.027058133321375587,WHITE FOX,2016-04-04,2016-09-19
9253,TV,FINISHED,2011,4,6,2011,9,14,161,SPRING,2011,112,24,24,89.0,89.0,527173,44153,Steins;Gate,Steins;Gate,シュタインズ・ゲート,89.94434979633841,0.021419913387066485,WHITE FOX,2011-04-06,2011-09-14
20464,TV,FINISHED,2014,4,6,2014,9,21,168,SPRING,2014,142,25,24,83.0,83.0,524864,27962,Haikyuu!!,HAIKYU!!,ハイキュー!!,84.74860707476445,0.027216574198268503,Production I.G,2014-04-06,2014-09-21
127230,TV,FINISHED,2022,10,12,2022,12,28,77,FALL,2022,224,12,25,83.0,84.0,516293,27783,Chainsaw Man,Chainsaw Man,チェンソーマン,84.88544456755979,0.017968479138783598,MAPPA,2022-10-12,2022-12-28
101291,TV,FINISHED,2018,10,4,2018,12,27,84,FALL,2018,184,13,25,81.0,81.0,507026,24969,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,Rascal Does Not Dream of Bunny Girl Senpai,青春ブタ野郎はバニーガール先輩の夢を見ない,81.66445362833527,0.025872440466563843,CloverWorks,2018-10-04,2018-12-27
97940,TV,FINISHED,2017,10,3,2021,3,30,1274,FALL,2017,174,170,24,79.0,79.0,503857,23694,Black Clover,Black Clover,ブラッククローバー,80.12622208500567,0.07749222497653104,Studio Pierrot,2017-10-03,2021-03-30
20447,TV,FINISHED,2014,1,5,2014,3,23,77,WINTER,2014,141,12,24,77.0,77.0,491980,13413,Noragami,Noragami,ノラガミ,78.85560946401684,0.019490629700394325,bones,2014-01-05,2014-03-23
101921,TV,FINISHED,2019,1,12,2019,3,30,77,WINTER,2019,191,12,24,83.0,83.0,491791,23673,Kaguya-sama wa Kokurasetai: Tensaitachi no Renai Zunousen,Kaguya-sama: Love is War,かぐや様は告らせたい～天才たちの恋愛頭脳戦～,84.11050124781836,0.021478636249951708,A-1 Pictures,2019-01-12,2019-03-30
19815,TV,FINISHED,2014,4,9,2014,6,25,77,SPRING,2014,142,12,24,77.0,77.0,491704,15496,No Game No Life,"No Game, No Life",ノーゲーム・ノーライフ,78.20279535359651,0.028230398776499684,MADHOUSE,2014-04-09,2014-06-25
